std_type;nominal_width_mm;outer_diameter_mm;inner_diameter_mm;material;U_W/mK
25/91 PLUS;20;94;25;PEXa;0.099
32/91 PLUS;25;94;32;PEXa;0.121
40/111 PLUS;32;114;40;PEXa;0.124
50/111;40;114;47.6;PEXa;0.147
50/126 PLUS;40;129;47.6;PEXa;0.13
63/126;50;129;58.5;PEXa;0.162
63/142 PLUS;50;145;58.5;PEXa;0.142
75/142;65;145;69.5;PEXa;0.173
75/162 PLUS;65;165;69.5;PEXa;0.148
90/162;80;165;84;PEXa;0.187
90/182 PLUS;80;185;84;PEXa;0.161
110/182 PLUS;100;185;101;PEXa;0.206
110/202 PLUS;100;205;101;PEXa;0.178
125/202 PLUS;125;205;116;PEXa;0.217
125/225 PLUS;125;228;116;PEXa;0.185
140/202;125;205;127;PEXa;0.255
140/225 PLUS;125;228;127;PEXa;0.212
160/225;150;228;144;PEXa;0.264
