DN number,Inner diameter [m],Roughness [mm],U-value [W/mK],alpha [W/m2K],Costs [eur]
20,0.0216,0.045,0.111,1.635759137,600
25,0.0285,0.045,0.1311,1.464225476,640
32,0.0372,0.045,0.1424,1.218476554,670
40,0.0431,0.045,0.1606,1.186092058,710
50,0.0545,0.045,0.1794,1.047794378,760
65,0.0703,0.045,0.2009,0.90965087,850
80,0.0825,0.045,0.2105,0.812172497,940
100,0.1071,0.045,0.2193,0.651777386,1070
125,0.1325,0.045,0.253,0.607791707,1250
150,0.1603,0.045,0.287,0.569899796,1440
200,0.2101,0.045,0.3047,0.461632662,1840
250,0.263,0.045,0.2985,0.361275669,2280
300,0.3127,0.045,0.3412,0.347321181,2740
